,precision,recall,f1-score,support
0,0.9551470588235295,0.9083916083916084,0.9311827956989247,1430.0
1,0.92,0.7657213316892725,0.8358008075370121,811.0
2,1.0,1.0,1.0,486.0
3,0.7928994082840237,0.9201716738197425,0.851807707588399,1165.0
4,0.654054054054054,0.6772388059701493,0.6654445462878094,536.0
accuracy,0.8674345076784101,0.8674345076784101,0.8674345076784101,0.8674345076784101
macro avg,0.8644201042323214,0.8543046839741546,0.856847171422429,4428.0
weighted avg,0.8744988883788409,0.8674345076784101,0.8682159234220257,4428.0
