,precision,recall,f1-score,support
0,0.9286694101508917,0.9468531468531468,0.9376731301939057,1430.0
1,0.8407079646017699,0.8199753390875463,0.8302122347066169,811.0
2,1.0,1.0,1.0,486.0
3,0.8427249789739276,0.8600858369098713,0.8513169073916736,1165.0
4,0.6765873015873016,0.6361940298507462,0.6557692307692308,536.0
accuracy,0.8690153568202349,0.8690153568202349,0.8690153568202349,0.8690153568202349
macro avg,0.8577379310627782,0.8526216705402622,0.8549943006122854,4428.0
weighted avg,0.8672621522048848,0.8690153568202349,0.8679880766323305,4428.0
